,town,block,street_name,Longitude,Latitude,Postal Code
128,CHOA CHU KANG,296A,CHOA CHU KANG AVE 2,103.740943329677,1.37714154932429,681296
129,CHOA CHU KANG,280,CHOA CHU KANG AVE 3,103.74293968344,1.3808318992022,680280
130,CHOA CHU KANG,486,CHOA CHU KANG AVE 5,103.738349548996,1.37544982404192,680486
131,CHOA CHU KANG,543,CHOA CHU KANG ST 52,103.744289177124,1.39370963092058,680543
132,CHOA CHU KANG,548,CHOA CHU KANG ST 52,103.74193765951,1.39339309874757,680548
133,CHOA CHU KANG,160,JLN TECK WHYE,103.756442998925,1.38079449708347,680160
134,CHOA CHU KANG,659,CHOA CHU KANG CRES,103.749394179356,1.40124273911529,680659
135,CHOA CHU KANG,251,CHOA CHU KANG AVE 2,103.744574238625,1.37829226381639,680251
136,CHOA CHU KANG,284,CHOA CHU KANG AVE 3,103.742134226705,1.37971380334915,680284
137,CHOA CHU KANG,667,CHOA CHU KANG CRES,103.749629714805,1.40258973962651,680667
138,CHOA CHU KANG,472,CHOA CHU KANG AVE 3,103.737542449427,1.37908544061279,680472
139,CHOA CHU KANG,295,CHOA CHU KANG AVE 2,103.740967962566,1.37816643855629,680295
140,CHOA CHU KANG,435,CHOA CHU KANG AVE 4,103.741050016887,1.38513876368188,680435
141,CHOA CHU KANG,283,CHOA CHU KANG AVE 3,103.742871205952,1.37970871614932,680283
142,CHOA CHU KANG,676A,CHOA CHU KANG CRES,103.746684850931,1.4020008434176,681676
143,CHOA CHU KANG,615,CHOA CHU KANG ST 62,103.744889705072,1.40089907208214,680615
144,CHOA CHU KANG,238,CHOA CHU KANG CTRL,103.74820998984,1.37914625858488,680238
145,CHOA CHU KANG,307,CHOA CHU KANG AVE 4,103.74270487573,1.38523428420139,680307
146,CHOA CHU KANG,476D,CHOA CHU KANG AVE 5,103.738418034791,1.37727907968964,684476
147,CHOA CHU KANG,508,CHOA CHU KANG ST 51,103.741643089,1.38836602447224,680508
148,CHOA CHU KANG,541,CHOA CHU KANG ST 52,103.744756328406,1.39306409609788,681541
149,CHOA CHU KANG,225,CHOA CHU KANG CTRL,103.744889593727,1.38109065348717,680225
150,CHOA CHU KANG,683A,CHOA CHU KANG CRES,103.745492505499,1.40385480382021,681683
151,CHOA CHU KANG,691B,CHOA CHU KANG CRES,103.751577560463,1.40162672032469,682691
152,CHOA CHU KANG,547,CHOA CHU KANG ST 52,103.742614364734,1.39316986752422,680547
153,CHOA CHU KANG,250,CHOA CHU KANG AVE 2,103.745365161971,1.37930897796883,680250
154,CHOA CHU KANG,457,CHOA CHU KANG AVE 4,103.736186811602,1.37863545271757,680457
155,CHOA CHU KANG,770,CHOA CHU KANG ST 54,103.750352449501,1.39483873062804,680770
156,CHOA CHU KANG,620,CHOA CHU KANG ST 62,103.747100331609,1.39957666181485,680620
157,CHOA CHU KANG,220,CHOA CHU KANG CTRL,103.745580988412,1.38193301079554,680220
158,CHOA CHU KANG,344,CHOA CHU KANG LOOP,103.74511032068,1.38328262549326,680344
159,CHOA CHU KANG,343,CHOA CHU KANG LOOP,103.745686287938,1.38341750127746,680343
160,CHOA CHU KANG,271,CHOA CHU KANG AVE 2,103.742532296308,1.37869966040642,680271
161,CHOA CHU KANG,601,CHOA CHU KANG ST 62,103.744921736632,1.39693363078609,680601
162,CHOA CHU KANG,755,CHOA CHU KANG NTH 5,103.745984804269,1.39236668753259,680755
163,CHOA CHU KANG,16,TECK WHYE LANE,103.754911815576,1.37842710387364,680016
164,CHOA CHU KANG,252,CHOA CHU KANG AVE 2,103.745020692529,1.37803539434682,680252
165,CHOA CHU KANG,660,CHOA CHU KANG CRES,103.749862447053,1.40102235751598,680660
166,CHOA CHU KANG,690D,CHOA CHU KANG CRES,103.752101604265,1.40214978725236,684690
167,CHOA CHU KANG,296,CHOA CHU KANG AVE 2,103.740781439449,1.37738338043104,680296
168,CHOA CHU KANG,484B,CHOA CHU KANG AVE 5,103.736338345807,1.37623030762822,682484
169,CHOA CHU KANG,234,CHOA CHU KANG CTRL,103.748137630209,1.3802069557625,680234
170,CHOA CHU KANG,410,CHOA CHU KANG AVE 3,103.741520103731,1.38062798768557,680410
171,CHOA CHU KANG,685A,CHOA CHU KANG CRES,103.747662621714,1.40378102388881,681685
172,CHOA CHU KANG,413,CHOA CHU KANG AVE 3,103.742568460559,1.38132792158886,680413
173,CHOA CHU KANG,158,JLN TECK WHYE,103.756963104815,1.37999554881374,680158
174,CHOA CHU KANG,212,CHOA CHU KANG CTRL,103.747347893013,1.3824698614123,680212
175,CHOA CHU KANG,607,CHOA CHU KANG ST 62,103.744182210841,1.39901658579842,680607
176,CHOA CHU KANG,636,CHOA CHU KANG NTH 6,103.748932039354,1.39727775331581,680636
177,CHOA CHU KANG,688B,CHOA CHU KANG DR,103.75033691367,1.40343593772923,682688
178,CHOA CHU KANG,13,TECK WHYE LANE,103.755847939018,1.37894634652916,680013
179,CHOA CHU KANG,296C,CHOA CHU KANG AVE 2,103.742297171999,1.37658460954055,683296
180,CHOA CHU KANG,687D,CHOA CHU KANG DR,103.751581291592,1.40368580815325,684687
181,CHOA CHU KANG,614,CHOA CHU KANG ST 62,103.744024958299,1.40106749729864,680614
182,CHOA CHU KANG,510,CHOA CHU KANG ST 51,103.741378171035,1.38794756262544,680510
183,CHOA CHU KANG,162,JLN TECK WHYE,103.757683733859,1.38086551927932,680162
184,CHOA CHU KANG,669,CHOA CHU KANG CRES,103.748268655447,1.40292361646725,680669
185,CHOA CHU KANG,665,CHOA CHU KANG CRES,103.750078423488,1.40199745834198,680665
186,CHOA CHU KANG,546,CHOA CHU KANG ST 52,103.743262359418,1.39301282897146,680546
187,CHOA CHU KANG,785,CHOA CHU KANG DR,103.748044130582,1.39485524508122,680785
188,CHOA CHU KANG,786,CHOA CHU KANG DR,103.748349077227,1.39508340781996,680786
189,CHOA CHU KANG,638,CHOA CHU KANG ST 64,103.748372512668,1.39780651380058,680638
190,CHOA CHU KANG,561,CHOA CHU KANG NTH 6,103.744957171627,1.39632645332412,680561
191,CHOA CHU KANG,555,CHOA CHU KANG NTH 6,103.743678368477,1.39628678045986,680555
192,CHOA CHU KANG,113,TECK WHYE LANE,103.75091538895,1.37793931794235,680113
193,CHOA CHU KANG,291,CHOA CHU KANG AVE 3,103.739795696799,1.378703619825,680291
194,CHOA CHU KANG,223,CHOA CHU KANG CTRL,103.744533459829,1.38148413412097,680223
195,CHOA CHU KANG,514,CHOA CHU KANG ST 51,103.74308786685,1.3903050833703,680514
196,CHOA CHU KANG,685C,CHOA CHU KANG CRES,103.748677231954,1.40349428170579,683685
197,CHOA CHU KANG,405,CHOA CHU KANG AVE 3,103.739453325086,1.38021754622899,680405
198,CHOA CHU KANG,455,CHOA CHU KANG AVE 4,103.735183712105,1.37942324084484,680455
199,CHOA CHU KANG,281,CHOA CHU KANG AVE 3,103.74259978067,1.38032442970476,680281
200,CHOA CHU KANG,485A,CHOA CHU KANG AVE 5,103.738364995209,1.37461810751349,681485
201,CHOA CHU KANG,277,CHOA CHU KANG AVE 2,103.744605644093,1.37987227900139,680277
202,CHOA CHU KANG,236,CHOA CHU KANG CTRL,103.748209630694,1.37981581239549,680236
203,CHOA CHU KANG,122,TECK WHYE LANE,103.749630691351,1.37851898360363,680122
204,CHOA CHU KANG,678,CHOA CHU KANG CRES,103.744092652395,1.40171070184602,680678
205,CHOA CHU KANG,682,CHOA CHU KANG CRES,103.745291155566,1.4025105391984,680682
206,CHOA CHU KANG,661,CHOA CHU KANG CRES,103.75056549927,1.40082816093623,680661
207,CHOA CHU KANG,787,CHOA CHU KANG NTH 6,103.747752649661,1.39582035325566,682787
208,CHOA CHU KANG,210,CHOA CHU KANG CTRL,103.747937128636,1.38252550607593,680210
209,CHOA CHU KANG,640,CHOA CHU KANG ST 64,103.749623257764,1.39780253841646,680640
210,CHOA CHU KANG,340,CHOA CHU KANG LOOP,103.74549899545,1.38409830722396,680340
211,CHOA CHU KANG,683C,CHOA CHU KANG CRES,103.746314893319,1.40467861884756,683683
212,CHOA CHU KANG,690B,CHOA CHU KANG CRES,103.751873055849,1.40318377742922,682690
213,CHOA CHU KANG,687A,CHOA CHU KANG DR,103.750161262445,1.40451101735306,681687
214,CHOA CHU KANG,685B,CHOA CHU KANG CRES,103.748176927162,1.40363737705198,682685
215,CHOA CHU KANG,112,TECK WHYE LANE,103.751921303308,1.37748545136822,680112
216,CHOA CHU KANG,684A,CHOA CHU KANG CRES,103.746767050296,1.40400608389802,681684
217,CHOA CHU KANG,703,CHOA CHU KANG ST 53,103.745930761025,1.3913176745554,680703
218,CHOA CHU KANG,670A,CHOA CHU KANG CRES,103.747562464245,1.4026789634991,681670
219,CHOA CHU KANG,249,CHOA CHU KANG AVE 2,103.745530138585,1.37962407045143,680249
220,CHOA CHU KANG,666,CHOA CHU KANG CRES,103.749920631876,1.40243944111659,680666
221,CHOA CHU KANG,454,CHOA CHU KANG AVE 4,103.73503881658,1.37893713397214,680454
222,CHOA CHU KANG,272,CHOA CHU KANG AVE 2,103.742923724743,1.3787209383866,680272
223,CHOA CHU KANG,758,CHOA CHU KANG NTH 5,103.746133684219,1.39317151524526,680758
224,CHOA CHU KANG,282,CHOA CHU KANG AVE 3,103.743214351168,1.38025443409642,680282
225,CHOA CHU KANG,759,CHOA CHU KANG NTH 5,103.74674083544,1.3932185910197,680759
226,CHOA CHU KANG,558,CHOA CHU KANG NTH 6,103.744732855557,1.39550937811325,680558
